,L.BSTS,L.CACG,L.CMFG,L.CU,L.EC,L.FG,L.IPG,L.ITG,L.ICG,L.LOG,L.LOFG,L.LG,L.MOFG,L.MTG,L.PHIG,L.PaCG,L.POP,L.POR,L.PTR,L.PCAL,L.PoCG,L.PCG,L.PrCG,L.PCU,L.RACG,L.RMFG,L.SFG,L.SPG,L.STG,L.SMG,L.FP,L.TP,L.TTG,L.IN,L.CER,L.TH,L.CA,L.PU,L.PA,L.HI,L.AM,L.AC,R.TH,R.CA,R.PU,R.PA,R.HI,R.AM,R.AC,R.BSTS,R.CACG,R.CMFG,R.CU,R.EC,R.FG,R.IPG,R.ITG,R.ICG,R.LOG,R.LOFG,R.LG,R.MOFG,R.MTG,R.PHIG,R.PaCG,R.POP,R.POR,R.PTR,R.PCAL,R.PoCG,R.PCG,R.PrCG,R.PCU,R.RACG,R.RMFG,R.SFG,R.SPG,R.STG,R.SMG,R.FP,R.TP,R.TTG,R.IN,R.CER,L.VTA,L.SN,R.VTA,R.SN,L.RN,R.RN
L.BSTS,0.0,69.59815990863072,103.47996175981228,86.93279635160644,9.779733831232273,68.63577745299615,32.6964585789765,39.57729829646745,77.72816316385266,72.13326525519648,115.00828910642508,72.14720382252553,78.17701472620826,20.23086243783234,31.268330070687337,109.30301737674408,104.73369473800662,121.17983478478963,115.12147433078732,92.62948250156276,89.21662151796403,86.96792036890986,97.56795921306114,80.77754966431299,55.27514078035297,122.87741318704865,129.99348717918517,83.12873315657428,19.70000968255098,41.84216470583331,47.47705296913064,40.88114353696575,46.30846415878054,70.59189398689733,59.49645934017981,76.78437077913162,110.06032595624782,80.98282288460918,93.96101609783167,66.58686228609156,32.64815941610247,12.301239979107637,149.05974946767037,89.04962479177154,151.55095682900446,135.6043205239419,121.448687943462,80.09410377838836,43.470950733531545,106.506102906538,56.43876681637682,127.87284234102472,68.26973396873346,37.05674743652345,109.00603457066282,137.50162721389037,147.56425876338326,94.54431031817694,146.57122601872226,68.51431413130327,97.713502887423,65.57546249958035,180.3126705710713,61.79237088290136,131.31477250895145,85.526192405007,22.270742242986543,58.07142639160154,43.42350661682091,112.77077070425608,83.22087638357173,163.49929513605727,131.9110620630401,34.08631896972654,164.21824058246554,173.75553110667036,146.20854262633438,165.06541925256383,148.17196448158617,0.0,18.923042990944637,75.9861185871269,137.0595804852729,30.95516237301482,59.49645934017981,59.49645934017981,30.95516237301482,30.95516237301482,59.49645934017981,30.95516237301482
L.CACG,69.59815990863072,0.0,52.74274989870523,0.0,0.0,73.85623681021853,119.78258860703482,87.9634131244649,70.22220666880327,76.81057182728982,60.7914062706335,57.02555495705992,47.12994631874092,129.64596062925446,55.56348971021989,66.04868550814851,60.19140687205013,81.84564529985796,64.00868272712779,49.544284473766,107.72601554549442,26.299101665166447,79.64570477665342,78.67131026890816,24.096564749627145,55.680744275859176,33.76784745893342,110.81174276914516,118.36585019873792,112.59527857362376,67.7933319124545,10.566442316228729,58.34644503995737,61.07222669908472,47.482033244260904,71.9106973452503,35.18797059438627,55.79590320124954,63.89095990779988,85.0191211485146,12.883755992398346,51.4667099638852,97.00783987122804,77.60615121163202,81.98518919012392,98.4889842913424,104.33070452895171,23.702249700372864,24.343525439557048,39.47283360716755,22.542599722367665,81.56529457104797,29.760610407049,0.0,13.097850004004,118.64831249509744,43.88810646957155,96.91193003443608,43.85081995819482,84.08036626004197,35.50380359996455,67.97021733765216,102.80829367194724,10.331757978959546,114.64204916637232,81.48704573414297,108.39754516275411,89.29826220172805,0.0,118.7150727044491,60.04512068087081,102.70664380789856,133.83648980912838,41.64459219547609,82.279735360399,69.70270837839024,152.45206479989992,116.07841007776192,142.28391005869324,74.39489176800895,0.0,0.0,89.01982525791647,68.52689750300746,47.482033244260904,47.482033244260904,68.52689750300746,68.52689750300746,47.482033244260904,68.52689750300746
L.CMFG,103.47996175981228,52.74274989870523,0.0,82.74264380433645,16.69002671675249,115.3676695167481,99.35450044502304,120.65215199795202,104.00627929000466,128.3969417099149,89.87590576305305,116.92461996459753,103.2167905278537,114.88964324078763,62.24809116281435,96.29699388061994,47.48845331232681,98.00855045797177,77.61540191854742,81.80513103884209,72.12525290230573,57.54498024929326,37.0641235482768,106.48500829335052,116.64309040131737,34.64213482183705,39.49491291551777,92.42886761821256,115.18528119935328,88.30093387115912,99.87943861518438,20.90000511470927,114.53035643486706,68.54328723347037,92.83544452048471,72.39339459756003,49.078529100159855,60.29074612640142,66.49742571429223,113.29281469815012,74.61738085231222,35.741602656910366,121.641033246294,102.26146196958211,113.52632365078615,121.10590658320484,154.20608852945483,24.87661849862273,21.877288258290353,146.3836977454649,75.63135012321054,106.70138178568858,37.03933059324573,0.0,128.81988951745046,166.5363523823071,124.95089597943064,129.23979807086764,108.71915899594636,139.42317867645778,57.69102996746872,106.49158084365668,176.39977950053546,25.734398077102274,133.75780825343247,117.8364235960821,130.85266349839085,136.20518159561215,51.56762981224272,148.65157027183636,88.24889905914046,122.56324357768644,153.99856761695798,93.842808583661,118.10219580681182,104.796983696658,164.52914274746647,163.076045023663,161.97060919287807,70.31482686125909,37.002133456143454,100.79751377267672,119.217463606882,112.37565521210408,92.83544452048471,92.83544452048471,112.37565521210408,112.37565521210408,92.83544452048471,112.37565521210408
L.CU,86.93279635160644,0.0,82.74264380433645,0.0,21.11839765324,69.06530909271818,61.093910836180726,89.08132793412828,58.83507340413869,25.251241519346344,68.74790950758346,40.47362607474831,10.95256589284409,97.09924768590515,72.03798636796064,7.887312670342209,61.41561721767973,33.50026957232282,89.54080909325627,11.856192951467031,67.03783652647982,65.32871230963855,126.04529473454282,25.63138477029629,51.014212495709096,103.04979608878452,125.99410449034065,20.169296845461727,100.70765536776936,110.56458241530484,15.047268954190365,63.39417371389673,72.89127703245539,100.28893170534212,49.22806466426209,85.73294465019013,107.98518361754346,96.65897543182984,91.278149511875,75.48168524882847,77.82197113116115,44.659264279381,131.93782008003393,28.483001708984364,172.117282270912,43.640301036196455,125.64069462432428,44.65847879347364,34.62115123198609,99.43209117717774,15.460335471413362,93.40315268658593,97.47141799465253,0.0,147.95052864484637,141.83116717512854,160.08633749756137,83.22114565665414,145.01125324763373,86.515091595645,123.44067114351265,21.085962442159452,164.81183261088054,89.53128173102154,42.63249153330627,0.0,34.63705305619672,0.0,103.94550855747906,30.081041789026543,23.59154236755079,58.91092159696318,119.0748370835072,0.0,78.55167596990408,122.35451600301646,138.41243764690572,175.94312223675246,116.26454189189646,0.0,40.71455105868255,46.78955929551327,165.59995983553952,48.813217163086,49.22806466426209,49.22806466426209,48.813217163086,48.813217163086,49.22806466426209,48.813217163086
L.EC,9.779733831232273,0.0,16.69002671675249,21.11839765324,0.0,9.727362290270683,65.02095706659664,15.097002781677883,31.19996660358149,59.12203597180164,16.516173705275925,35.59529731703464,19.923019594550674,19.398745684824956,9.42726069208078,0.0,7.494418057528409,16.262253778902846,14.38110282204368,20.315595491112365,0.0,20.49873282692652,0.0,47.54954733607285,16.108953302556817,17.3417984091912,21.9246050217393,54.89494280043909,16.8846431226305,39.02367729597242,0.0,8.1489994974842,0.0,15.304441326582587,40.696553326163695,42.19021495922993,37.00309671407046,27.488613417776925,24.199407959298256,8.12876734323845,7.014893777994486,13.936587593772192,29.581362437466726,0.0,6.517094265522927,22.3611174232761,16.806208523837036,0.0,0.0,0.0,0.0,0.0,18.87899502840909,5.11147907570041,0.0,0.0,0.0,10.309661865234364,0.0,0.0,0.0,0.0,0.0,14.21163716426551,0.0,0.0,0.0,12.41672169078482,0.0,0.0,16.48094870827418,15.146365079012815,44.10936112837355,36.601076043347135,34.28589560768818,40.21008439497509,29.51868508078836,39.72527660023081,14.854338212446727,0.0,0.0,0.0,12.49629072709518,36.69487039280442,40.696553326163695,40.696553326163695,36.69487039280442,36.69487039280442,40.696553326163695,36.69487039280442
L.FG,68.63577745299615,73.85623681021853,115.3676695167481,69.06530909271818,9.727362290270683,0.0,55.65348593911287,18.830341013893644,65.42728057560174,28.543391763674663,86.32372890167109,29.386680494259267,55.71583469497187,41.81508101356977,18.381923639213905,66.52500421716573,131.081330631735,97.46797168865592,123.61773139670754,52.332007412596184,112.81385748197984,106.82542470286243,123.7389196292876,68.0787443059933,101.0747603345727,133.98224982337908,142.33457187760337,72.02281595826109,59.03044130805847,96.11857941511444,29.277880929029543,11.75183071801245,95.55514992738556,55.60912478164364,54.17797135397,68.28276195726245,116.19040574206753,70.33734475261056,74.80285331090262,21.762856863921435,15.629309333920334,39.75497736683872,139.21735227158035,73.21679833761227,163.97311104926865,164.499094791815,130.65065670387466,107.27491262447128,24.66247697310009,134.71100209012528,26.58164978027345,100.39749995884182,150.78251018173808,11.480777393687818,158.80821513027627,145.16824597982475,161.07036510914318,94.789983745248,154.3443459119441,94.77193290474446,137.8260602517691,47.66543831030114,171.86283208398245,66.747424600396,77.43969003598173,67.29969510165137,61.24565818093037,41.51714671741827,148.1949695122861,145.7130287297099,96.5133799411642,144.73236299695293,130.00195294682072,10.814501675692457,100.27000960522264,153.23246697096727,149.38877980253446,188.25846641385917,169.09587249805,31.455424915660455,33.54158749125154,84.37090574222701,161.11294326474146,108.20305808619682,54.17797135397,54.17797135397,108.20305808619682,108.20305808619682,54.17797135397,108.20305808619682
L.IPG,32.6964585789765,119.78258860703482,99.35450044502304,61.093910836180726,65.02095706659664,55.65348593911287,0.0,56.58256419136225,64.1688259777955,27.23395225341062,132.98627284243392,62.90424234878376,101.53942753009544,41.92332784205512,87.65311860180213,103.40503550621128,115.61249343284568,98.63422951440408,139.11710421699047,58.15109525961759,76.93600755772553,97.68879561815196,89.15794439460952,57.612192412888845,109.39294071671044,137.73514607217356,117.16070616282228,41.61323256534002,65.23901576152105,26.92888903902339,26.71304182572791,64.74844124880555,77.01427427193262,85.52221943200992,121.72147212936282,77.4039747366791,103.89148912872204,85.6876951721948,88.44339138331055,78.7467485208923,72.74649549158461,94.20880716061984,138.13376547310443,155.49618933453473,155.58198809937855,158.6682214789,137.72155437680115,142.57371339623526,46.314304115826914,148.18638371043735,112.77331439852408,162.26270699804482,148.7670233147377,49.71807445179327,150.38266848352757,135.79829538600137,155.82658366195136,87.36611571898926,149.91496921232982,178.56679651072582,142.11467217172464,129.33684084634092,160.755717692273,146.9490362957608,148.15943887644917,150.46426754709083,79.22931310391918,112.1263275388138,142.39247602928882,158.98632981375874,127.09917528902368,164.6395520743548,120.26600057274892,69.35127119584509,183.1707617256859,165.97228552858218,135.97647222921248,157.94029176854136,145.42492061425435,21.220519234367273,118.4236902573392,136.9269974945022,154.96194448705626,80.4930988632091,121.72147212936282,121.72147212936282,80.4930988632091,80.4930988632091,121.72147212936282,80.4930988632091
L.ITG,39.57729829646745,87.9634131244649,120.65215199795202,89.08132793412828,15.097002781677883,18.830341013893644,56.58256419136225,0.0,80.24222702166387,45.93247786458632,112.26334104811502,64.84026660285593,91.59121656160458,17.380777351316052,39.083268272408866,139.55558163781427,121.4294105571229,108.81370112194236,128.41229513047364,77.1520776018881,105.4721186174946,103.903865862516,112.59506994989428,85.40369011179382,93.80339414224473,129.93526167401092,136.64397497948863,88.37633628760227,52.93349376888187,80.19742523216468,98.2091350937071,12.549993877302107,105.52446198090038,67.54032636518595,88.37795064227333,78.07428542658702,113.22344928979176,79.15382786280799,81.87104095218514,35.90795568205017,20.703372437617872,82.63465718698241,158.60368813464163,141.3868045584951,168.2473521620078,183.7954122203749,152.7473442248662,129.00646399686318,44.36199807142045,162.84816146686236,78.69016404126891,175.1287609730982,163.77283963862735,31.427713567560364,165.70759869800182,151.21357509196136,170.34736926395885,108.77992862958868,163.738090817633,148.38783500462327,156.30205102426137,79.40889494324782,173.79404345429535,74.44686770345018,162.1092968385368,144.52555399385318,112.17174876819956,75.752613259156,161.81514258283664,164.785348424437,141.03741980886963,184.8474123789628,137.46957332238946,12.445233804289636,155.84492878816036,185.31085581966636,153.75958273196338,178.381935552572,164.3238934834151,36.00046747381045,20.094457452947452,105.9234745430118,177.52823060054635,118.82253696891962,88.37795064227333,88.37795064227333,118.82253696891962,118.82253696891962,88.37795064227333,118.82253696891962
L.ICG,77.72816316385266,70.22220666880327,104.00627929000466,58.83507340413869,31.19996660358149,65.42728057560174,64.1688259777955,80.24222702166387,0.0,70.78629627965107,125.81646570404628,36.336969050383296,92.77686184294411,89.24621964430823,22.62876620901079,63.09261647608691,123.21964308163952,124.31305079669792,134.6911085693687,55.297137244781375,79.49129037894332,26.2694659171062,104.38356463601605,26.60529020631715,95.7302324009027,119.97793121301856,99.30433158858416,61.27897447664393,81.58083262346805,68.2792414303161,127.45927198593137,32.632311886533905,70.03449854959094,87.42231105958227,66.83425174604393,49.39661895754266,94.80634849087828,87.83144783328562,86.98521939761463,21.731429637550946,76.0474736082184,82.74221664047235,87.32228554084928,133.7091844828225,117.30742592819688,117.14056179662224,68.9491612258304,105.72327503582552,60.0034729813236,97.03696942450752,128.2466427127066,134.17783365951962,86.16447712213848,18.494908419522385,89.6981648768679,92.083605556635,110.8303826492503,16.982600188545053,90.85798417725567,113.31358495340538,75.16821259634827,88.3343510728394,120.63237943004304,46.5913746887575,85.40144687614878,132.55206457513808,80.46281256824899,134.39444244647837,83.3707435279249,99.82463125744148,37.73233844472832,131.18075125837643,63.929281061659545,105.62829702119346,170.83340309084062,146.25669938050862,90.4014967689268,108.82404589570253,92.30513526561217,29.239526922052548,44.529116543856546,97.60469007129858,114.06077813434337,80.56654666381309,66.83425174604393,66.83425174604393,80.56654666381309,80.56654666381309,66.83425174604393,80.56654666381309
L.LOG,72.13326525519648,76.81057182728982,128.3969417099149,25.251241519346344,59.12203597180164,28.543391763674663,27.23395225341062,45.93247786458632,70.78629627965107,0.0,131.72229174294347,23.92627638320624,109.3674062996769,56.23367009434187,82.7665019497028,83.19518407377527,154.56444839638755,139.9883051505251,135.0544952666842,18.584883446294537,101.94554552903696,110.3558338814281,124.96470716691157,59.08034483244824,82.42166537672618,161.22395179902617,150.61604313577098,35.57195625901927,95.53091729239748,112.6625782517136,48.83174918523727,68.85590186654673,107.56854482542292,94.31273134198,87.27016607768964,85.63856096872478,122.91315129954856,93.7978455514637,97.5641205174394,76.90848921295604,88.83926831980878,102.97595020906428,140.897087546653,130.34123705284654,177.4939210412129,170.69612670605446,135.07515626634765,119.6630757845062,53.13608950758673,144.03276122374498,66.81736467200037,104.96975335664835,152.81222589385283,18.857635498046907,157.45627343397518,148.1448451598168,163.71128453838426,95.21341054932826,154.89956130863118,147.82434792501047,142.66069719826328,81.46683962758054,169.01463332503556,150.97697711821536,127.80283485769864,83.48715626109737,103.5203074095302,94.7350039346038,147.2201765824851,171.60064932239854,119.33404553317644,150.3908985604651,130.14636988161627,46.098075173117905,151.67321247069137,177.89522482588836,152.71968511974092,185.87601046321728,177.5624775638615,22.262961647727273,72.31382863011518,125.57680992428482,182.17004809122665,92.43043514332064,87.27016607768964,87.27016607768964,92.43043514332064,92.43043514332064,87.27016607768964,92.43043514332064
