,L.BSTS,L.CACG,L.CMFG,L.CU,L.EC,L.FG,L.IPG,L.ITG,L.ICG,L.LOG,L.LOFG,L.LG,L.MOFG,L.MTG,L.PHIG,L.PaCG,L.POP,L.POR,L.PTR,L.PCAL,L.PoCG,L.PCG,L.PrCG,L.PCU,L.RACG,L.RMFG,L.SFG,L.SPG,L.STG,L.SMG,L.FP,L.TP,L.TTG,L.IN,L.CER,L.TH,L.CA,L.PU,L.PA,L.HI,L.AM,L.AC,R.TH,R.CA,R.PU,R.PA,R.HI,R.AM,R.AC,R.BSTS,R.CACG,R.CMFG,R.CU,R.EC,R.FG,R.IPG,R.ITG,R.ICG,R.LOG,R.LOFG,R.LG,R.MOFG,R.MTG,R.PHIG,R.PaCG,R.POP,R.POR,R.PTR,R.PCAL,R.PoCG,R.PCG,R.PrCG,R.PCU,R.RACG,R.RMFG,R.SFG,R.SPG,R.STG,R.SMG,R.FP,R.TP,R.TTG,R.IN,R.CER,L.VTA,L.SN,R.VTA,R.SN,L.RN,R.RN
L.BSTS,0.0,9.747897182626656e-05,0.0035185250782739,0.0009721742768206,2.0553096362723527e-05,0.0015736850408095,0.1124722053762443,0.0206666932992295,0.0022793028463757,0.0056588473407277,0.0003804146123119,0.0011088586303045,4.867430854247126e-05,0.2559818508882346,6.753778984142198e-05,0.0002002346727184,0.006273851794137,0.0001696059238385,0.0010110660678063,0.0011471702851172,0.00342393571687,0.000361128613064,0.0082855133889796,0.005226203633041,6.149301084414094e-05,0.0021721760394594,0.0020789185451602,0.0094970922694899,0.2045114261167028,0.0695090416611597,1.5674824695655725e-05,9.614030216882316e-05,0.0025714154050141,0.0037243558994017,8.122157293239772e-05,0.0065738332548252,0.0007224881119684,0.0040805571671344,0.0013424227528517,0.0011907526122676,0.0001779768321639,7.708430286976471e-06,0.0007257393039048,7.442989920523318e-05,0.0004085066643714,0.0001275399413069,0.0002371483148107,2.7731560854563546e-05,1.5490767877552948e-05,0.0001054751123792,4.815125781383035e-05,0.0001632015763357,4.023592086400572e-05,1.2261613151204992e-05,7.229681201536056e-05,0.0007848451631401,0.0002650610314012,0.0004134805986277,0.0001518376405781,1.2013380208094222e-05,5.386636256196381e-05,4.057115619025062e-05,0.0002524091569915,2.0904580461372197e-05,9.762075008415544e-05,2.4020365627611396e-05,9.595864054794596e-06,1.9661055048664148e-05,5.0699998796217645e-05,0.000162162386647,0.0001112016599699,0.0002580305407347,0.001865555781481,7.102613633693088e-06,0.0001060901771246,0.0003889265869343,0.0014253025798452,0.0003660698372236,0.0003466353011115,0.0,4.663618464740751e-06,3.725563490681248e-05,0.0001530074739436,2.336659255623645e-05,0.0221386236316302,0.0221386236316302,0.0,0.0,0.0472771556109418,0.0
L.CACG,9.747897182626656e-05,0.0,0.0084686430156162,1.2023032345870589e-05,0.0,8.206448862049514e-05,0.0003604337445008,0.000131563237327,0.0095318210962141,5.7645078476865e-05,0.0062724619510348,9.344553190264468e-05,0.0161229375781383,0.000348601475365,0.000187816535062,0.0034234990352377,0.0105617354660308,0.0016880962401862,0.0056227625996181,3.755289241839674e-05,0.0006442358253527,0.050795857013787,0.0033741944214189,0.012724461256953,0.0705178705314066,0.0254741452349119,0.1848659786220735,0.0009857528255365,0.000514453667137,0.0007462165877797,0.0012089375869822,8.718811079402256e-06,9.02456883086868e-05,0.0056002670943519,6.972217460829552e-05,0.0104997138043845,0.0219934383173503,0.0103927942934052,0.0041368175860369,0.0004237712385268,2.0240967165905475e-05,0.0040641885645212,0.0029866438193928,0.0027933814426697,0.0024989835112426,0.0009616253279318,0.0001072355181907,2.9028516237400003e-05,0.0003833899860345,5.697525738015882e-05,0.0112401522705711,0.0034887634353287,8.310862738677955e-06,0.0,2.4617762252271812e-05,0.0001442235439266,2.868706650484241e-05,0.0002160337369353,2.983276412207381e-05,0.0007282709418077,1.611061145677742e-05,0.0016610744369643,0.0001752424823606,1.7429060692990972e-06,0.0005004289000399,0.0024495531903176,0.0004238686189302,0.0018037520885038,0.0,0.0002455250626746,0.0018594230656392,0.0013068812878419,0.000509544055354,0.0033258181142516,0.0085970851336838,0.0250510498508792,0.0002234166745493,0.0001222890900527,0.0001605324712451,0.0001486749166486,0.0,7.251644793282353e-06,0.0007796990908623,7.942608874049622e-05,0.0289499106398936,0.0289499106398936,0.0,0.0,0.03441535111307305,0.0
L.CMFG,0.0035185250782739,0.0084686430156162,0.0,0.0001125940401518,9.338349786004136e-06,0.001526837754143,0.0256155726796224,0.0098517685752265,0.0012662238742333,0.0021772326602066,0.0029918910178609,0.0001458530012014,0.0004565583461769,0.0114087827413315,3.651751336110467e-05,0.0024134505830428,0.121447233865895,0.0013231483109882,0.0093328700403091,0.000121067035672,0.0203793383217395,0.0053845439902242,0.3186728703048722,0.0043129546758416,0.0004100644484916,0.2739897121679946,0.333355567829333,0.0161136962968665,0.0034931975114508,0.014026969447716,0.0002461612899671,4.127276723930595e-05,0.0004340276450759,0.0149799689054413,0.0003007156341169,0.0424001884850106,0.0457839216938927,0.0355549155570663,0.0168892317425445,0.0009509591060469,0.0001793450032189,8.438724669207698e-05,0.0084522739403577,0.0044044254161424,0.0050565219729669,0.0022573396241222,0.0002807954997944,3.6509360886678863e-05,2.733426667600057e-05,0.0001556653961955,0.0039331550173678,0.0208298210482283,2.420696019440149e-05,0.0,7.156692752086164e-05,0.0009909308620689,0.0003119836060458,0.0004241208437331,0.0001315658844763,0.0003759302781331,2.7799986515705205e-05,0.0002617801292089,0.000597587227704,3.1969122031486314e-05,0.0017020969294989,0.0062916997192001,0.0002471273222876,0.0018204489120583,3.3864814519254e-05,0.0007834394060374,0.0029587008848182,0.0084520853730456,0.0013720228470629,0.0001712220463919,0.0084032751230844,0.0451661303666329,0.0011251730509233,0.0003429871982886,0.0008180436412287,4.54964098621003e-05,4.068478867743072e-06,3.60646305939633e-05,0.0018609714922381,0.00027427231981,0.0123980657371498,0.0123980657371498,0.0,0.0,0.04466484523010325,0.0
L.CU,0.0009721742768206,1.2023032345870589e-05,0.0001125940401518,0.0,2.8093735622960936e-05,0.0077142145088039,0.0097032202123532,0.0054612937550822,0.0289697104337709,0.189415163201574,8.580901326671675e-05,0.0629326528403677,6.78836756716856e-05,0.0041265475114448,0.0013469227630451,1.5299378667083804e-05,8.224219422738906e-05,3.3342462747962704e-05,5.1284498455262795e-05,0.7042227828654933,7.241902551820203e-05,0.0001185690632086,0.0002600399239377,0.0790698147169489,7.249265637724574e-05,9.93069363323796e-05,0.000258010541163,0.2458251590529517,0.0041453020508536,0.0003379794783779,5.690067629074791e-06,7.472437884979486e-05,0.0002616442453476,0.0015748070137141,0.0001163307116501,0.0089348867732431,0.0001092632267215,0.0032091595881752,0.0013184082627757,0.0056267331204857,0.0002904837546817,6.356565127693907e-05,0.0010217174286056,5.901951556910066e-06,0.0004030306177337,5.235667981717581e-05,0.0012190216553202,5.115505111966778e-05,2.644602144233173e-05,0.0001241034767652,7.865358135664706e-06,1.949541704393377e-05,0.0120080076743422,0.0,0.0013394685012882,0.0022595129794926,0.0010351496398814,0.0051071240041646,0.0071369101636277,4.3127262055926705e-05,0.0039857230553112,7.036935268234202e-05,0.0006722865767261,0.0001637082036524,4.360656225838345e-05,0.0,5.5396083463257035e-06,2.8489784412278406e-06,0.0090682107338554,2.6496177598265618e-05,3.738989726394862e-05,8.271523898802072e-05,0.0054989312415651,0.0,1.5389715049324433e-05,7.101885893215768e-05,0.0051824979926249,0.0003240576036163,8.266300979484184e-05,0.0,7.948889012140633e-06,1.625694521902703e-05,0.0001539359985706,2.8766734055661052e-05,0.0225933439695228,0.0225933439695228,0.0,0.0,0.0420549432472865,0.0
L.EC,2.0553096362723527e-05,0.0,9.338349786004136e-06,2.8093735622960936e-05,0.0,0.058656841792858,0.0001203469962986,0.013624241527404,0.0002405438607161,0.0001323898428913,0.0002631273797369,0.000419674424866,9.679133858564524e-05,0.0026324580257676,0.0252505850357292,1.1150606008282354e-05,3.655014261802963e-05,4.40533212302553e-05,4.9667757679785094e-05,3.5528757674598215e-05,7.196809182288236e-06,1.7121407760325563e-05,9.963307490205882e-06,0.0001334895898272,1.7993533534055483e-05,8.523777368185294e-05,4.035356747011905e-05,7.304432965117817e-05,0.0045652162999105,3.6612378695126873e-05,7.480445457547685e-06,0.0776472266030347,9.900700672082336e-06,0.0183723414423783,0.0034471491433913,0.0012372071959959,8.346484537672313e-05,0.0012693653506828,0.0010499198758738,0.0970127667110281,0.1063670360518713,2.9288581222042617e-05,8.825486853117801e-05,8.061808033658824e-06,3.4916208546805885e-05,0.0001343391454655,6.695647927670338e-05,0.0,0.0,0.0,0.0,2.980842510597115e-06,4.107420829305793e-06,0.0003796630580009,0.0,0.0,5.786776670306109e-06,2.2310403546768537e-05,0.0,6.383357166017647e-06,0.0,0.0,0.0,0.0005921216905819,0.0,0.0,0.0,3.570773606254706e-06,7.655990509358823e-06,0.0,2.8740120807815125e-06,6.010489490989075e-06,1.5822243084171704e-05,1.731177308876361e-05,2.41112465570608e-05,1.0188272876888474e-05,1.3336217189896504e-05,1.457382146397172e-05,9.070922111926864e-06,0.0,0.0,0.0,4.886283917270003e-06,0.0012488903087765,0.012869517892203,0.012869517892203,0.0,0.0,0.02491410232765855,0.0
L.FG,0.0015736850408095,8.206448862049514e-05,0.001526837754143,0.0077142145088039,0.058656841792858,0.0,0.0525455619143459,0.384124667273836,0.0099625723082517,0.34073321315703,0.0010737195870413,0.1852433732913582,0.0004007320540635,0.0272305979930822,0.0488917078021965,7.664261224083987e-05,0.000540202401064,0.0001779799747838,0.000389985037022,0.022462903026851,0.0007170359749787,0.000194278983094,0.0019807112229675,0.0117345143050433,0.000162834205722,0.001059550682395,0.0008239515015002,0.0230053799860122,0.0133068878747592,0.0019195665833967,3.4874481043243554e-05,0.0554240557718867,0.0001917248516433,0.0110365039175519,0.0001079241911952,0.0183076140903371,0.0004862375414553,0.0086528129672689,0.004405772494031,0.1085668248693547,0.0287232063579027,0.0001861855840651,0.0011796189509058,6.693756486590546e-05,0.0006268725774513,0.0002253925567182,0.0008043104693231,6.960879921011865e-05,2.168871007413049e-05,0.0001637147611527,2.0579024398060213e-05,8.202101601483995e-05,0.0010943105188086,1.816357462293649e-06,0.0007966831454396,0.0025693658885545,0.0012862672382935,0.0015612366464221,0.0025601936719698,6.989713664476611e-05,0.0009001888269606,0.0001258350069958,0.0009714292287267,0.0001158525384857,7.036606582630935e-05,2.935756349795848e-05,1.3179754161476113e-05,1.1714872905783332e-05,0.0009400468218016,0.0001466228557454,0.0001013337261548,0.0001400111481469,0.004731213943652,2.0959609639560575e-05,8.587597823777379e-05,0.0002341558449724,0.0032124335924824,0.0004404795248774,0.0003891771838074,1.1065743658528103e-05,7.835451045305257e-06,2.5260180451783516e-05,0.0002611173701401,8.817146755637351e-05,0.023358974191175,0.023358974191175,0.0,0.0,0.0411968603212876,0.0
L.IPG,0.1124722053762443,0.0003604337445008,0.0256155726796224,0.0097032202123532,0.0001203469962986,0.0525455619143459,0.0,0.1241584974961052,0.0246499483819711,0.3534485560726378,0.0007716056915989,0.0125755753869114,0.00031248299645,0.2238009905547961,0.0011234044715908,0.002053712346239,0.0075995004039194,0.0002549712872176,0.0011475303176312,0.0119502148219362,0.025747194121312,0.002104417561058,0.0423462118241077,0.0743237098856543,0.000269830232393,0.0069588667592681,0.0138809925340307,0.5470691205654821,0.0579163054380064,0.3206315296954269,1.5063741467486869e-05,0.0003755797187906,0.0045137255570508,0.013249344644917,0.0005793533578416,0.0486387687916319,0.0030583100715883,0.0249668471331065,0.0100217546559833,0.0140101097443172,0.0012843750148745,0.0001364160584567,0.0061264622341116,0.0003934208352911,0.0028643955181168,0.0008516028381937,0.0027621011496781,0.00028528010372,3.816371972767321e-05,0.0006560773054271,0.000117022194567,0.0008978298371695,0.0016912694264572,1.9904687206383905e-05,0.00170891725806,0.0097781828638712,0.003639830835238,0.0041228687802245,0.004889401780579,0.0001738222933846,0.0013904389864268,0.000152197847634,0.003193926797808,0.0001951673955562,0.0009015802177299,0.0002115731601764,2.69437365226811e-05,7.002507492626289e-05,0.0019521684639905,0.0007851294006847,0.0007459827797571,0.0016942713096242,0.0162071585483259,4.5808701400391895e-05,0.0003558317266356,0.0021483921922678,0.0137652289077657,0.0027212949597268,0.0027302871433285,6.628822829994118e-06,6.492485066801575e-05,0.0002515600323079,0.0012273602757611,0.0002428275747293,0.0137306201154335,0.0137306201154335,0.0,0.0,0.04593235104440265,0.0
L.ITG,0.0206666932992295,0.000131563237327,0.0098517685752265,0.0054612937550822,0.013624241527404,0.384124667273836,0.1241584974961052,0.0,0.0096274040122113,0.1343962794771043,0.0039614891014467,0.0414483134284167,0.0006204497662275,0.4831281710448699,0.0072200469630631,0.0002987408510737,0.0060080707163273,0.0006394847763116,0.0021740030216839,0.0140627515381763,0.0051020803597087,0.00072305804106,0.0132846844377111,0.0163448053936567,0.0004004133621167,0.0060804116033864,0.0055042450672676,0.0295749009830489,0.0348673804532418,0.019117066978799,0.0001171836483124,0.0360517504135179,0.0006341633647492,0.0185171371308506,0.000348119665582,0.0224138015598449,0.0018857742179778,0.0151303254311416,0.0065477730676502,0.0412745902201232,0.016744505703419,0.0002725070008356,0.002469017934128,0.000194454514514,0.0012962237350654,0.0002382603010527,0.001301175014558,0.0001376356156191,5.105598919450796e-05,0.0004622617784121,8.566551439228127e-05,0.0006172006496714,0.0006502369623448,5.284393165380657e-06,0.0007702308243042,0.0052186348391071,0.0020179649346165,0.0017768231849146,0.0020059046435244,0.0001757447988936,0.0007237364250689,0.0001493823096782,0.0015764348960398,0.0001137311823352,0.0002336265078245,9.241766342766524e-05,6.835221371699514e-05,4.810835185025208e-05,0.0007490552539739,0.000289175780413,0.0002565899953118,0.0005403805232392,0.0074668099126913,2.1934581857664708e-05,0.0004248400999329,0.0011593902343246,0.0063505300977177,0.0013218539700874,0.0012337521439364,1.747309191211129e-05,1.1475960433627984e-05,0.0001358032409344,0.0005658592346062,0.0001236860728416,0.0191393966641876,0.0191393966641876,0.0,0.0,0.0467933286642566,0.0
L.ICG,0.0022793028463757,0.0095318210962141,0.0012662238742333,0.0289697104337709,0.0002405438607161,0.0099625723082517,0.0246499483819711,0.0096274040122113,0.0,0.0331161134636108,0.0015168566047297,0.0428458971967781,0.0035000743182807,0.0063989632328497,0.0252085308432499,0.0019961737344659,0.001446315923371,0.0004465107227101,0.0007272295881147,0.0226452684665067,0.0020934114029897,0.0780966177497478,0.0025070834224705,0.3118687241195473,0.0075014713004817,0.0040899513012593,0.0207929057845838,0.0527769733188758,0.0081326633085197,0.0119190306103374,0.0004262416355667,9.644962734740028e-05,0.0020796345838023,0.0044097393902184,0.0001597327155718,0.0292318975558617,0.0029801459975795,0.006640858186105,0.0027486811815815,0.0513011581371748,0.0004113175390307,0.000601965224458,0.0045351699052491,0.000521361268616,0.0017518582093439,0.0006783319931712,0.0035334354548081,0.0002171106589596,0.0001540459270085,0.000818659612868,0.0001938954672839,0.0004558375972544,0.0053484926313746,2.364836958574585e-05,0.0013952698478513,0.0056993768034735,0.0019114605570593,0.0246087398857447,0.0088495818215559,0.0002881623305081,0.0048080410085009,0.000337309891864,0.0019767598966687,0.0004816015981391,0.0013388336531397,0.0001712020340911,9.156276201256312e-05,0.0002100653245578,0.004317348151099,0.000945106826377,0.0029538071905852,0.0007924659973986,0.0210382903467481,0.0001332161950313,0.0006129638634206,0.0014743523607919,0.0112395504532754,0.002337288678789,0.002363116593377,2.09614857719727e-05,3.741202716720225e-05,0.0003059613297979,0.0010219404262766,0.0001248604301432,0.0278671847798309,0.0278671847798309,0.0,0.0,0.028678820815219,0.0
L.LOG,0.0056588473407277,5.7645078476865e-05,0.0021772326602066,0.189415163201574,0.0001323898428913,0.34073321315703,0.3534485560726378,0.1343962794771043,0.0331161134636108,0.0,0.0008412810719198,0.313966695679072,0.0003678914939522,0.066337316012073,0.0018731323649196,0.0001898567220787,0.0005918406793442,0.0001646732634128,0.0003125664768755,0.3834341468589108,0.0012626802179627,0.0002644283571054,0.0024315980475849,0.0324273080834146,0.0002171752672958,0.0011521788152603,0.0014345200938506,0.2047606038477873,0.0248532676816563,0.0026285577378291,3.9173499340580467e-05,0.0004661061887927,0.0011514845728462,0.011171628141362,0.0003881827843485,0.0446831244753179,0.0006674695434181,0.0194613734774429,0.0075275844744141,0.0206984233280111,0.0018615965055144,0.0001679713794576,0.0027428392073594,7.664566797447357e-05,0.0012824319109324,0.0003325036948572,0.002660205164206,0.0001450404237043,5.127447914756957e-05,0.0002680977872778,3.3748197923226415e-05,0.0001975267489522,0.0067785287125649,2.262968826814649e-05,0.0033696400374376,0.0079954338298445,0.0037648179986378,0.0078704756102208,0.0169921225461391,0.0001534561779578,0.0058937940958305,0.0002528468391329,0.0021787301412456,0.0002546707660815,0.0001203275732416,2.800011886795749e-05,2.24371915924965e-05,3.3306531140860246e-05,0.0068270244465425,0.0002035448453995,0.000200469521543,0.0002384302308411,0.014030871351178,1.5175491493201914e-05,0.0001277156942049,0.0003829011719167,0.0118431733647326,0.0011483415966866,0.0004727036128951,4.111891535195617e-06,3.867684506910488e-05,0.000115423595324,0.00053154957116,0.0002054019433177,0.0091773135736132,0.0091773135736132,0.0,0.0,0.04181176031100775,0.0
