,D1_number,D1_density,5HT2A_number,5HT2A_density,D2_number,D2_density
L.CER,82199.90404325676,1.5182841529969848,3639.237081638538,2.031958169535755,1158.9083734211745,0.0179996641053222
L.TH,91755.02060320508,11.850060777890365,2841.292461555451,9.69724389609369,26922.45459836349,3.12688206717346
L.CA,142516.06705887243,41.63484284512779,300.9241444990039,3.2709146141196075,47268.11034749227,13.03228848841805
L.PU,270627.05945014954,63.23062136685737,2682.297127485276,17.531353774413564,99894.3799800718,13.793755865792846
L.PA,77118.60834312439,42.891328333217125,557.546272277832,11.378495352608818,15443.436159641133,8.749822186765515
L.HI,39782.60226362245,11.137346658348951,2222.114468753338,16.46010717595065,5675.643862033321,1.09886618819619
L.AM,21982.02046501194,15.814403212238808,875.0095270425081,16.827106289279,4542.216361822095,2.3401423811551236
L.AC,20987.706086158752,47.91713718301085,258.9827620983124,21.58189684152603,7994.594999135588,10.27582904773212
R.CER,62404.71382324779,1.2620015333626118,3502.052867042541,1.9231481971677875,1353.761041186808,0.020935959932987
R.TH,87590.90359815815,12.896187219987947,2825.804521514103,11.081586358878834,24712.96992898226,2.877281398181658
R.CA,145334.5434937477,40.225447963948994,226.2572700306777,2.175550673371901,48426.67608619662,12.571826605970044
R.PU,315013.9093990326,64.05325526617173,2057.5454676300287,12.546008948963587,92531.88026265136,13.465058245438208
R.PA,72941.49892139435,37.46353308751636,390.4664404392242,6.732180007572832,18982.822717807023,10.522629001001675
R.HI,41691.72370245261,11.51705074653387,1938.2913918197155,12.921942612131437,5786.974463058345,1.0742480904136522
R.AM,26473.02642973559,17.947814528634296,851.7327353954315,13.96283172779396,5523.896771366824,2.4793073480102445
R.AC,27470.11153125763,46.877323432180255,335.9976601600647,20.999853760004044,7746.558783596149,10.233234852835071
L.BSTS,35096.7600402832,14.180509107185133,98664.664,59.40076,2140.608827410033,1.3060456543075247
L.CACG,37680.10784816742,18.543360161499717,34376.367,43.240715,1464.084408894356,0.867862720150774
L.CMFG,43661.62309137476,7.941364694684386,180701.75,56.118557,2494.239174620365,0.6556885317088236
L.CU,43907.357115610735,14.471772285962668,84965.72,52.83938,1323.1444055577158,0.7056770162974484
L.EC,13263.542341552677,8.243345147018443,16340.164,31.302996,1672.6512347774114,0.9897344584481724
L.FG,140300.39342516242,14.962183366232528,220244.14,51.761253,6964.522916741611,1.169525258898675
L.IPG,106418.40074122055,8.794909152166989,371659.47,57.711098,6660.162439588923,1.0114141897629343
L.ITG,148571.74860621162,12.259406601717272,267566.3,58.792862,8661.35526780499,1.394069735684048
L.ICG,44089.1023362265,17.84983900252085,51383.24,36.033127,1611.651606571104,0.688740002808164
L.LOG,60024.016565800615,5.878368089883519,307638.16,52.533836,4530.170903678401,0.7249433355222278
L.LOFG,119640.99373412132,16.848471163796834,171092.56,55.03138,5687.356707682251,0.952177583740541
L.LG,80915.3264898737,13.761109947257433,169358.94,49.621723,3330.619914230425,0.7130421567609558
L.MOFG,93746.81388056278,22.125752626991453,134854.52,46.88961,3666.302967278869,0.9324270008338934
L.MTG,123244.3994006603,11.407293539490958,262029.9,62.821842,9438.14763335319,1.4524696265548154
L.PHIG,24711.49377098726,13.89066541370841,29923.613,31.268143,1789.8404509879765,0.9202264529501164
L.PaCG,37902.61937951902,10.557832696244851,88438.016,39.393326,2078.910149214731,0.610725660756384
L.POP,45271.07512391592,13.756024042514712,110368.766,59.05231,3631.873502543138,1.0262428659347662
L.POR,29493.85876840353,13.442962063994315,36819.742,58.911587,1306.002647494257,0.8480536672040629
L.PTR,34618.34550237516,11.78697497527244,82497.83,57.290157,1650.112510132254,0.8246439330995773
L.PCAL,23851.294758413336,10.971156742600431,80048.94,56.97433,802.1354332047631,0.528415963903006
L.PoCG,55743.959461221646,6.31802782060769,278982.56,42.56027,7065.385306820332,0.8797640775520273
L.PCG,57049.825788497925,18.853214074189665,90163.78,51.404663,2565.9951526573277,0.8350130662731298
L.PrCG,96804.4565674254,7.531076440596343,293730.75,47.109985,7898.959197863471,0.6984048804476986
L.PCU,139236.57494447753,15.77215393571336,288230.34,53.614277,5419.909327170637,0.8340888469022217
L.RACG,60111.94406416453,21.08451212352316,32264.523,39.155975,1781.8740372245084,0.8782030740386931
L.RMFG,160221.0211261685,10.775507507308392,345139.5,58.006638,7422.930584524584,0.8343183752416077
L.SFG,176685.19105904608,9.008116195525954,521333.97,55.811367,12252.09945016232,0.7027704170105725
L.SPG,82196.11663831433,7.450699477729725,375703.9,46.67129,5848.711977364146,0.7802443939920152
L.STG,141792.92022636542,11.393565305453228,292400.25,54.13817,12828.292029979812,1.3711299732770217
L.SMG,81109.65246283129,8.856699329857097,371169.5,56.74507,7824.043087931816,1.138870900717877
L.FP,9123.83162393188,9.01564389716589,17321.309,57.737694,681.1427837207448,0.7838236866751954
L.TP,27983.208139619324,12.92526934855396,23439.469,42.617214,3815.2858038222184,1.5844210148763365
L.TTG,19476.99152135849,17.81975436537831,37272.477,55.38258,1044.6149529983522,0.9052122642966656
L.IN,141718.1509001255,20.55972013638844,147696.72,43.957355,18276.061881711823,2.7830153619174394
R.BSTS,44542.351215839386,19.416892421900343,83469.4,56.132748,2212.714330441493,1.265131120892792
R.CACG,22713.75669670105,18.05545047432516,32403.22,45.831997,1706.141742583481,0.8517931815194612
R.CMFG,44678.12393139349,9.106833251405115,171140.58,53.987564,2252.463089537923,0.6624891439817421
R.CU,39058.3438213924,13.68068084812343,97186.516,53.19459,1420.4188401373683,0.699025019752642
R.EC,16532.32545119524,11.617937773151962,14424.818,28.395311,1539.6118743719417,1.10683815555136
R.FG,152479.84981824784,16.08946394621165,229062.56,51.37084,6232.564335209783,1.1486480529321383
R.IPG,153898.59490176442,10.01748323255643,432965.34,57.71332,7681.691830450727,1.045554897298316
R.ITG,134308.7590276231,15.437788393979668,230033.61,55.363083,8985.056127986521,1.3999775830455785
