x_labels,numbers_of_receptors,receptor_density
L.CER,82199.90404325676,1.5182841529969848
L.TH,91755.02060320508,11.850060777890363
L.CA,142516.06705887243,41.63484284512779
L.PU,270627.05945014954,63.23062136685737
L.PA,77118.60834312439,42.891328333217125
L.HI,39782.60226362245,11.137346658348951
L.AM,21982.02046501194,15.814403212238807
L.AC,20987.706086158752,47.91713718301085
R.CER,62404.71382324779,1.2620015333626118
R.TH,87590.90359815815,12.896187219987949
R.CA,145334.5434937477,40.225447963948994
R.PU,315013.9093990326,64.05325526617173
R.PA,72941.49892139435,37.46353308751636
R.HI,41691.72370245261,11.51705074653387
R.AM,26473.02642973559,17.947814528634296
R.AC,27470.11153125763,46.877323432180255
L.BSTS,35096.7600402832,14.180509107185133
L.CACG,37680.10784816742,18.543360161499713
L.CMFG,43661.62309137476,7.9413646946843865
L.CU,43907.357115610735,14.471772285962668
L.EC,13263.542341552675,8.243345147018443
L.FG,140300.39342516242,14.962183366232528
L.IPG,106418.40074122057,8.794909152166989
L.ITG,148571.74860621162,12.259406601717272
L.ICG,44089.1023362265,17.84983900252085
L.LOG,60024.016565800615,5.878368089883519
L.LOFG,119640.99373412132,16.848471163796834
L.LG,80915.3264898737,13.761109947257431
L.MOFG,93746.81388056278,22.125752626991453
L.MTG,123244.3994006603,11.407293539490958
L.PHIG,24711.49377098726,13.89066541370841
L.PaCG,37902.61937951902,10.557832696244851
L.POP,45271.075123915914,13.756024042514712
L.POR,29493.85876840353,13.442962063994317
L.PTR,34618.34550237516,11.786974975272441
L.PCAL,23851.294758413336,10.971156742600431
L.PoCG,55743.959461221646,6.31802782060769
L.PCG,57049.825788497925,18.853214074189665
L.PrCG,96804.4565674254,7.531076440596343
L.PCU,139236.57494447753,15.772153935713359
L.RACG,60111.944064164534,21.08451212352316
L.RMFG,160221.0211261685,10.775507507308392
L.SFG,176685.19105904608,9.008116195525954
L.SPG,82196.11663831433,7.450699477729725
L.STG,141792.92022636542,11.393565305453228
L.SMG,81109.65246283129,8.856699329857097
L.FP,9123.831623931881,9.01564389716589
L.TP,27983.208139619324,12.925269348553961
L.TTG,19476.99152135849,17.81975436537831
L.IN,141718.1509001255,20.55972013638844
R.BSTS,44542.351215839386,19.416892421900343
R.CACG,22713.75669670105,18.05545047432516
R.CMFG,44678.12393139349,9.106833251405115
R.CU,39058.343821392395,13.68068084812343
R.EC,16532.32545119524,11.617937773151962
R.FG,152479.84981824784,16.08946394621165
R.IPG,153898.59490176442,10.01748323255643
R.ITG,134308.7590276231,15.437788393979668
R.ICG,39262.85634261742,18.840142198952698
R.LOG,82688.60266015027,8.451410737954852
R.LOFG,121761.64129704237,17.8850824466866
R.LG,73573.31499526859,13.989981934829547
R.MOFG,95542.8581369021,21.255363323003802
R.MTG,148089.13665280235,13.441874979831383
R.PHIG,22322.54413433373,13.431133654833772
R.PaCG,38899.72128666262,10.929958214853222
R.POP,58390.219564182684,14.906872495323636
R.POR,35516.57383849565,12.729954780822814
R.PTR,52506.46001743921,11.456788133851017
R.PCAL,32696.948443174362,15.408552517989802
R.PoCG,57505.98213042342,7.371616732524474
R.PCG,51881.171523571014,19.817101422296034
R.PrCG,106437.43782373524,8.88681955612718
R.PCU,149958.75588083267,15.23816236976249
R.RACG,43487.75456428528,22.14244122417784
R.RMFG,163539.05455643707,11.326203653745901
R.SFG,197052.73583310252,9.770564053604845
R.SPG,71239.87450837155,6.437725872796995
R.STG,148475.74027541606,13.478189930593324
R.SMG,90904.23840676161,11.065640706848644
R.FP,13529.880842349492,10.772198122889723
R.TP,40185.660068795085,14.581153871115779
R.TTG,16009.936621665955,20.873450614949093
R.IN,155969.55553519726,21.548708971428194
